name;slogan;link;telefoon;provincie;stad;address;location;kvkNumber;registrationType;bedrijfsvorm;mederwerkers;op_marktplaats;ervaring;creationDate;advert_type
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
Goodzz Handelsonderneming;Gemakkelijk vanuit huis: direct cash voor uw producten!;http://www.24cash.nl;0725722729;Noord-Holland;Heerhugowaard;Nobelstraat 1 C;1704RM Heerhugowaard;52610128;;BV;3;1 maand;2 jaar;000022529691;vakman
Artep Budgetbeheer;Voor hulp bij al uw financiele zorgen;www.artepbudgetbeheer.nl;0793612505;Zuid-Holland;Zoetermeer;Regenboogsingel 57;2718GT Zoetermeer;27309487;;Eenmanszaak;2;7 jaar;7 jaar;000006780881;vakman
Financieel Adviesbureau Divide et Impera;Hulp bij Schulden. Lage Tarieven. Geen Wachttijden!!;www.alleschuldweg.nl;0642825369;Drenthe;Emmen;Goudvink 26;7827DL Emmen;58891919;;Eenmanszaak;4;1 jaar;3 jaar;000028218787;vakman
Handelsonderneming Hermink;Snel Tijdelijk Geld......Wij gaan verder waar uw bank stopt;<empty>;0653956451;Overijssel;Hengelo;Smaragdstraat 18;7554TD Hengelo Ov;06054144;;Eenmanszaak;1;2 jaar;31 jaar;000003481069;vakman
Eendje Werkt;Latex kleding maken, workshops, fournituren, gereedschappen;http://www.latexrepair.nl/;0614765606;Noord-Holland;Amsterdam;Louwesweg 1 (atelier 1.2;1066EA Amsterdam;37131311;;Eenmanszaak;1;4 jaar;20 jaar;000014504421;vakman
Bouwservice DBW;DBW Bouwservice Voor al uw verbouw en aanbouw werkzaamheden ;http://www.bouwservicedbw.nl;0625351007;Groningen;Nieuwe Pekela;Dwarsdiep 4;9663TS Nieuwe Pekela;02092798;;Eenmanszaak;1;3½ jaar;32 jaar;000002478242;vakman
Dukker Computerhulp;Trage PC ? Windows installatie ?;http://dukkercomputerhulp.nl;0649984904;Zuid-Holland;Delft;Lumumbasingel 10;2622ED Delft;54772923;;Eenmanszaak;1;2½ jaar;14 jaar;000024501093;vakman
RWBT;Professioneel tekenwerk voor een aantrekkelijke prijs. ;https://sites.google.com/site/bouwtek/;0641527211;Utrecht;IJsselstein;Thorbeckesingel 30;3404HE IJsselstein;30229657;;Eenmanszaak;1;7 jaar;12 jaar;000015457338;vakman
MVZ ICT;Betaalbare computer- en laptopreparatie, ook aan huis!;http://www.pchulpamsterdam.com;0613422963;Noord-Holland;Amsterdam;Willem de Zwijgerlaan 142 3;1056JV Amsterdam;53334590;;Eenmanszaak;1;7½ jaar;6 jaar;000023218223;vakman
VNG Systems;Reparatie en verkoop van computers en laptops;http://www.vngsystems.nl;0182-599295;Zuid-Holland;Gouda;Bosweg 81;2802NR Gouda;52676722;;VOF;2;7 jaar;21 jaar;000012643068;vakman
East Corp B.V.;Poolse aannemer.Specialist in verbouwen, renoveren en slopen;www.eastcorp.nl;020-6185057;Utrecht;Utrecht;Van der Boechorststraat 116;1081BX Amsterdam;34246470;;BV;10+;7 jaar;11 jaar;000014128799;vakman
Siutkowski Bouwbemiddeling;Uw kunt ons bellen :06-29313829;http://www.bouwvakkersuitpolen.nl;0629313829;Zuid-Holland;Zoetermeer;Abeelstraat 14 D;2691DH 's-Gravenzande;27312056;;Eenmanszaak;8;5½ jaar;7 jaar;000003142361;vakman
Siutkowski Bouwbemiddeling;Uw kunt ons bellen :06-29313829;http://www.bouwvakkersuitpolen.nl/;0629313829;Zuid-Holland;Zoetermeer;Abeelstraat 14 D;2691DH 's-Gravenzande;27312056;;Eenmanszaak;8;5½ jaar;8 jaar;000003142361;vakman
Hendriksen Totaal;Uw specialist in renovatie/bouw werken ;www.hendriksentotaal.nl;0658966905;Gelderland;Wekerom;Roekelseweg 48 178;6733BP Wekerom;53203348;;Eenmanszaak;4;3½ jaar;15 jaar;000023082909;vakman
De Laminaatlegger;Complete service omtrent laminaat, PVC en parket vloeren.;<empty>;0637409355;Noord-Holland;Amstelveen;De Parelvisserslaan 91;1183RK Amstelveen;61714267;;Eenmanszaak;1;5½ jaar;5 jaar;000030792894;vakman
Inferno E.A.L.;Voor elk feest de juiste muziek;www.inferno-online.nl;0616960708;Noord-Holland;Koog aan de Zaan;De Ruyterstraat 40;1541CW Koog aan de Zaan;35023658;;Eenmanszaak;1;9½ jaar;37 jaar;000004194993;vakman
A. Couperus (Auto)Handelsonderneming;Verhuizen? Doe het zelf met een bus van Arend Couperus ;www.couplaza.nl;0657333335;Friesland;Donkerbroek;Herenweg 9;8435WN Donkerbroek;01122389;;Eenmanszaak;—;6½ jaar;16 jaar;000004752317;vakman
R. van den Boom Deurenmontage;afhangen en leveren van alle deuren zowel opdek als stomp.;<empty>;+31614889659;Noord-Brabant;Tilburg;Hulsbergstraat 34;5045BE Tilburg;18076606;;Eenmanszaak;—;2 weken;10 jaar;000004945239;vakman
